1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/1 Cartesian=0.0000000 0.0000000 0.0000000 (40339 plane wave)
 1 -6.457477674419789 0.9999999999976762
 2 -0.1942689138906449 0.000000000000000
 3 0.8565865883791343 0.000000000000000
 4 0.8565941480551088 0.000000000000000
 5 0.8566036435602066 0.000000000000000
 6 1.274473586887246 0.000000000000000
 7 1.274481673336829 0.000000000000000
 8 1.450674729344902 0.000000000000000
 9 2.245086909845920 0.000000000000000
 10 2.245097269466029 0.000000000000000

